네 시작은 미약하였으나 네 나중은 심히 창대하리라,Your future will be brighter by far than your past.,욥기 8장 7절,Job 8:7,위로
너희가 이 세대를 본받지 말고 오직 마음을 새롭게 함으로 변화를 받아 하나님의 선하시고 기뻐하시고 온전하신 뜻이 무엇인지 분별하도록 하라,"Don't be like the people of this world, but let God change the way you think. Then you will know how to do everything that is good and pleasing to him.",로마서 12장 2절,Romans 12:2,기타
새 사람을 입었으니 이는 자기를 창조하신 이의 형상을 따라 지식에까지 새롭게 하심을 입은 자니라,"Each of you is now a new person. You are becoming more and more like your Creator, and you will understand him better.",골로새서 3장 10절,Colossians 3:10,기타
보좌에 앉으신 이가 이르시되 보라 내가 만물을 새롭게 하노라 하시고 또 이르시되 이 말은 신실하고 참되니 기록하라 하시고,Then the one sitting on the throne said: I am making everything new. Write down what I have said. My words are true and can be trusted.,요한계시록 21장 5절,Revelation 21:5,기타
오직 여호와를 앙망하는 자는 새 힘을 얻으리니 독수리가 날개치며 올라감 같을 것이요 달음박하여도 곤비하지 아니하겠고 걸어가도 피곤하지 아니하리로다,But those who trust the LORD will find new strength. They will be strong like eagles soaring upward on wings; they will walk and run without getting tired.,이사야 40장 31절,Isaiah 40:31,위로
사무엘이 백성에게 이르되 오라 우리가 길갈로 가서 나라를 새롭게 하자,"""Come on!"" Samuel said. ""Let's go to Gilgal and make an agreement that Saul will continue to be our king.""",사무엘상 11장 14절,1 Samuel 11:14,기타
그런즉 누구든지 그리스도 안에 있으면 새로운 피조물이라 이전 것은 지나갔으니 보라 새것이 되었도다,"Anyone who belongs to Christ is a new person. The past is forgotten, and everything is new.",고린도후서 5장 17절,2 Corinthians 5:17,위로
"너희는 이전 일을 기억하지 말며 옛적 일을 생각하지 말라,  보라 내가 새 일을 행하리니 이제 나타낼 것이라 너희가 그것을 알지 못하겠느냐 정녕히 내가 광야에 길과 사막에 강을 내리니","Forget what happened long ago! Don't think about the past.  I am creating something new. There it is! Do you see it? I have put roads in deserts, streams n) in thirsty lands",이사야 43장 18~19절,Isaiah 43:18~19,위로
너는 마음을 다하여 여호와를 의뢰하고 네 명철을 의지하지 말라 너는 범사에 그를 인정하라 그리하면 네 길을 지도하시리라,"With all your heart you must trust the LORD and not your own judgment. Always let him lead you, and he will clear the road for you to follow.",잠언 3장 5~6절 ,Proverbs 3:5~6,지혜
내게 능려 주시는 자 안에서 내가 모든 것을 할 수 있느니라,Christ gives me the strength to face anything.,빌립보서 4장 13절,Philippians 4:13,위로
또 무엇을 하든지 말에나 일에나 다 주 예수의 이름으로 하고 그를 힘입어 하나님 아버지께 감사하라,"Whatever you say or do should be done in the name of the Lord Jesus, as you give thanks to God the Father because of him.",골로새서 3장 17절,Colossians 3:17,기타
나 여호와가 말하노라 너희를 향한 나의 생각은 내가 아나니 재앙이 아니라 곧 평안이요 너희 장래에 소망을 주려하는 생각이라," I will bless you with a future filled with hope--a future of success, not of suffering.",예레미야 29장 11절,Jeremiah 29:11,위로
내게 이르시기를 내 은혜가 네게 족하도다 이는 내 능력이 약한데서 온전하여짐이라 하신지라 이러므로 도리어 크게 기뻐함으로 나의 여러 약한 것들에 대하여 자랑하리니 이는 그리스도의 능력으로 내게 머물게 하려 함이라,"But he replied, ""My kindness is all you need. My power is strongest when you are weak."" So if Christ keeps giving me his power, I will gladly brag about how weak I am.",고린도후서 12장 9절,2 Corinthians 12:9,기타
너의 행사를 여호와께 맡기라 그리하면 너의 경영하는 것이 이루리라,"Share your plans with the LORD, and you will succeed.",잠언 16장 3절,Proverbs 16:3,지혜
주 여호와여 주는 나의 소망이시요 나의 어릴 때부터 의지시라,"I depend on you, and I have trusted you since I was young.",시편 71장 5절,Psalms 71:5,위로
하나님은 우리의 피난처시요 힘이시니 환난 중에 만날 큰 도움이시라,"God is our mighty fortress, always ready to help in times of trouble",시편 46장 1절,Psalms 46:1,위로
우리가 무엇이든지 구하는 바를 들으시는 줄을 안즉 우리가 그에게 구한 그것을 얻은 줄을 또한 아느니라,"And if we know that God listens when we pray, we are sure that our prayers have already been answered.",요한 1서 5장 15절,1 John 5:15 ,위로
저희가 평온함을 인하여 기뻐하는 중에 여호와께서 저희를 소원의 항구로 인도하시는도다,"You were happy because of this, and he brought you to the port where you wanted to go.",시편 107편 30절,Psalms 107:30,기타
소망의 하나님이 모든 기쁨과 평강을 믿음 안에서 너희에게 충만케 하사 성령의 능력으로 소망이 넘치게 하시기를 원하노라," I pray that God, who gives hope, will bless you with complete happiness and peace because of your faith. And may the power of the Holy Spirit fill you with hope.",로마서 15장 13절,Romans 15:13,위로
주의 말씀대로 나를 붙들어 살게 하시고 내 소망이 부끄럽지 말게 하소서,"Be true to your word, LORD. Keep me alive and strong; don't let me be ashamed because of my hope.",시편 119편 116절,Psalms 119:116,기타
좋은 것으로 네 소원을 만족케 하사 네 청춘으로 독수리 같이 새롭게 하시는도다,"Each day that we live, r) he provides for our needs and gives us the strength of a young eagle.",시편 103편 5절,Psalms 103:5,기타
저가 사모하는 영혼을 만족케 하시며 주린 영혼에게 좋은 것으로 채워주심이로다,"To everyone who is thirsty, he gives something to drink; to everyone who is hungry, he gives good things to eat.",시편 107편 9절,Psalms 107:9,기타
야베스가 이스라엘 하나님께 아뢰어 가로되 원컨대 주께서 내게 복에 복을 더 하사 나의 지경을 넓히시고 주의 손으로 나를 도우사 나로 환난을 벗어나 근심이 없게 하옵소서 하였더니 하나님이 그 구하는 것을 허락하셨더라,"One day he prayed to Israel's God, ""Please bless me and give me a lot of land. Be with me so I will be safe from harm."" h) And God did just what Jabez had asked.",역대상 4장 10절,1 Chronicles 4:10,위로
나의 가는 길을 오직 그가 아시나니 그가 나를 단련하신 후에는 내가 정금 같이 나오리라,"But he knows what I am doing, and when he tests me, I will be pure as gold.",욥기 23장 10절,Job 23:10,지혜
내 이름을 경외하는 너희에게는 의로운 해가 떠올라서 치료하는 1)광선을 발하리니 너희가 나가서 외양간에서 나온 송아지 같이 뛰리라,"But for you that honor my name, victory will shine like the sun with healing in its rays, and you will jump around like calves at play.",말라기 4장 2절,Malachi 4:2,기타
"다만 이뿐 아니라 우리가 환난 중에도 즐거워하나니 이는 환난은 인내를, 인내는 연단을, 연단은 소망을 이루는 줄 앎이로다","But that's not all! We gladly suffer, k) because we know that suffering helps us to endure. And endurance builds character, which gives us a hope",로마서 5장 3~4절,Romans 5:3,지혜
야곱의 하나님으로 자기 도움을 삼으며 여호와 자기 하나님에게 그 소망을 두는 자는 복이 있도다,The LORD God of Jacob blesses everyone who trusts him and depends on him.,시편 146편 5절,Psalms 146:5,기타
저는 자기를 경외하는 자의 소원을 이루시며 또 저희 부르짖음을 들으사 구원하시리로다,"You satisfy the desires of all your worshipers, and you come to save them when they ask for help.",시편 145편 19절,Psalms 145:19,기타
여호와 하나님은 해요 방패시라 여호와께서 은혜와 영화를 주시며 정직히 행하는 자에게 좋은 것을 아끼지 아니하실 것임이니이다,"Our LORD and our God, you are like the sun and also like a shield. You treat us with kindness and with honor, never denying any good thing to those who live right.",시편 84편 11절,Psalms 84:11,위로
주께서 생명의 길로 내게 보이시리니 주의 앞에는 기쁨이 충만하고 주의 우편에는 영원한 즐거움이 있나이다,"You have shown me the path to life, and you make me glad by being near to me. Sitting at your right side, v) I will always be joyful.",시편 16편 11절,Psalms 16:11,기타
너의 하나님 여호와가 너의 가운데 계시니 그는 구원을 베푸실 전능자시라 그가 너로 인하여 기쁨을 이기지 못하여 하시며 너를 잠잠히 사랑하시며 너로 인하여 즐거이 부르며 기뻐하시리라 하리라,"The LORD your God wins victory after victory and is always with you. He celebrates and sings because of you, and he will refresh your life with his love.""",스바나 3장 17절,Zephaniah 3:17,기타
 여호와여 나의 발이 미끄러진다 말할 때에 주의 인자하심이 나를 붙드셨사오며,"When I felt my feet slipping, you came with your love and kept me steady.",시편 94편 18절,Psalms 94:18,기타
날마다 우리 짐을 지시는 주 곧 우리의 구원이신 하나님을 찬송할찌로다,"We praise you, Lord God! You treat us with kindness day after day, and you rescue us.",시편 68편 19절,Psalms 68:19,기타
내가 네게 명한 것이 아니냐 마음을 강하게 하고 담대히 하라 두려워 말며 놀라지 말라 네가 어디로 가든지 네 하나님 여호와가 너와 함께 하느니라 하시니라,"I've commanded you to be strong and brave. Don't ever be afraid or discouraged! I am the LORD your God, and I will be there to help you wherever you go.",여호수아 1장 9절,Joshua 1:9,위로
지혜를 버리지 말라 그가 너를 보호하리라 그를 사랑하라 그가 너를 지키리라,"If you love Wisdom and don't reject her, she will watch over you.",잠언 4장 6절,Proverbs 4:6,지혜
그러므로 내가 너희에게 말하노니 무엇이든지 기도하고 구하는 것은 받은 줄로 믿으라 그리하면 너희에게 그대로 되리라,"Everything you ask for in prayer will be yours, if you only have faith.",마가복음 11장 24절,Mark 11:24,지혜
환난 날에 나를 부르라 내가 너를 건지리니 네가 나를 영화롭게 하리로다,"Pray to me in time of trouble. I will rescue you, and you will honor me.",시편 50편 15절,Psalms 50:15,기타
"눈물을 흘리며 씨를 뿌리는 자는 기쁨으로 거두리로다, 울며 씨를 뿌리러 나가는 자는 정녕 기쁨으로 그 단을 가지고 돌아오리로다"," We cried as we went out to plant our seeds. Now let us celebrate as we bring in the crops. We cried on the way to plant our seeds, but we will celebrate and shout as we bring in the crops.",시편 126편 5~6절,Psalms 126:5~6,지혜
두려워하지 말라 내가 너와 함께 함이라 놀라지 말라 나는 네 하나님이 됨이라 내가 너를 굳세게 하리라 참으로 너를 도와 주리라 참으로 나의 의로운 오른손으로 너를 붙들리라,"Don't be afraid. I am with you. Don't tremble with fear. I am your God. I will make you strong, as I protect you with my arm and give you victories.",이사야 41장 10절,Isaiah 41:10,위로
그들이 부르기 전에 내가 응답하겠고 그들이 말을 마치기 전에 내가 들을 것이며,I will answer their prayers before they finish praying.,이사야 65장 24절,Isaiah 65:24,위로
주께서 심지가 견고한 자를 평강에 평강으로 지키시리니 이는 그가 주를 의뢰함이니이다,The LORD gives perfect peace to those whose faith is firm.,이사야 26장 3절,Isaiah 26:3,기타
우리가 알거니와 하나님을 사랑하는 자 곧 그 뜻대로 부르심을 입은 자들에게는 3)모든 것이 합력하여 선을 이루느니라,"We know that God is always at work for the good of everyone who loves him. o) They are the ones God has chosen for his purpose,",로마서 8장 28절,Romans 8:28,지혜
사람이 감당할 시험 밖에는 너희에게 당한 것이 없나니 오직 하나님은 미쁘사 너희가 감당치 못할 시험 당함을 허락지 아니하시고 시험 당할 즈음에 또한 피할 길을 내사 너희로 능히 감당하게 하시느니라,"You are tempted in the same way that everyone else is tempted. But God can be trusted not to let you be tempted too much, and he will show you how to escape from your temptations.",고린도전서 10장 13절,1 Corinthians 10:13,위로
내 영혼아 네가 어찌하여 낙망하며 어찌하여 내 속에서 불안하여 하는고 너는 하나님을 바라라 나는 내 얼굴을 도우시는 내 하나님을 오히려 찬송하리로다,"Why am I discouraged? Why am I restless? I trust you! And I will praise you again because you help me, and you are my God.",시편 42편 11절,Psalms 42:11,위로
평안을 너희에게 끼치노니 곧 나의 평안을 너희에게 주노라 내가 너희에게 주는 것은 세상이 주는 것 같지 아니하니라 너희는 마음에 근심도 말고 두려워하지도 말라,"I give you peace, the kind of peace that only I can give. It isn't like the peace that this world can give. So don't be worried or afraid.",요한복음 14장 27절,John 14:27,기타
이와 같이 성령도 우리 연약함을 도우시나니 우리가 마땅히 빌바를 알지 못하나 오직 성령이 말할 수 없는 탄식으로 우리를 위하여 친히 간구하시느니라,"In certain ways we are weak, but the Spirit is here to help us. For example, when we don't know what to pray for, the Spirit prays for us in ways that cannot be put into words.",로마서 8장 26절,Romans 8:26,기타
"아무 것도 염려하지 말고 오직 모든 일에 기도와 간구로, 너희 구할 것을 감사함으로 하나님께 아뢰라","Don't worry about anything, but pray about everything. With thankful hearts offer up your prayers and requests to God.",빌립보서 4장 6절,Philippians 4:6,기타
이러므로 남자가 부모를 떠나 그의 아내와 합하여 둘이 한 몸을 이룰지로다,"That's why a man will leave his own father and mother. He marries a woman, and the two of them become like one person.",창세기 2장 24절,Genesis 2:24,사랑
너희 모든 일을 사랑으로 행하라,Show love in everything you do.,고린도전서 16장 14절,1 Corinthians 16:14,사랑
남편들아 아내 사랑하기를 그리스도께서 교회를 사랑하시고 그 교회를 위하여 자신을 주심 같이 하라,A husband should love his wife as much as Christ loved the church and gave his life for it.,에베소서 5:25,Ephesians 5:25,사랑
피차 사랑의 빚 외에는 아무에게든지 아무 빚도 지지 말라 남을 사랑하는 자는 율법을 다 이루었느니라,"Let love be your only debt! If you love others, you have done all that the Law demands.",로마서 13장 8절,Romans 13:8,사랑
그러므로 하나님이 짝지어 주신 것을 사람이 나누지 못할지니라 하시더라,And no one should separate a couple that God has joined together.,마가복음 10장 9절,Mark 10:9,사랑
이 모든 것 위에 사랑을 더하라 이는 온전하게 매는 띠니라,"Love is more important than anything else. It is what ties everything completely together. But if we love others, we are in the light, and we don't cause problems for them. c)",골로새서 3장 14절,Colossians 3:14,사랑
빛 가운데 있다 하면서 그 형제를 미워하는 자는 지금까지 어둠에 있는 자요 그의 형제를 사랑하는 자는 빛 가운데 거하여 자기 속에 거리낌이 없으나,"If we claim to be in the light and hate someone, we are still in the dark.",요한 1서 2장 9~10절,1 John 2:9~10,사랑
아침에 나로 하여금 주의 인자한 말씀을 듣게 하소서 내가 주를 의뢰함이니이다 내가 다닐 길을 알게 하소서 내가 내 영혼을 주께 드림이니이다,"Each morning let me learn more about your love because I trust you. I come to you in prayer, asking for your guidance.",시편 143편 8절,Psalms 143:8,사랑
사랑하지 아니하는 자는 하나님을 알지 못하나니 이는 하나님은 사랑이심이라,"God is love, and anyone who doesn't love others has never known him.",요한 1서 4장 8절,1 John 4:8,사랑
사랑에는 거짓이 없나니 악을 미워하고 선에 속하라 형제를 사랑하여 서로 우애하고 존경하기를 서로 먼저 하며,Be sincere in your love for others. Hate everything that is evil and hold tight to everything that is good. Love each other as brothers and sisters and honor others more than you do yourself.,로마서 12장 9~10절,Romans 12:9,사랑
사랑은 오래 참고 사랑은 온유하며 시기하지 아니하며 사랑은 자랑하지 아니하며 교만하지 아니하며 무례히 행하지 아니하며 자기의 유익을 구하지 아니하며 성내지 아니하며 악한 것을 생각하지 아니하며,"Love is kind and patient, never jealous, boastful, proud, or rude. Love isn't selfish or quick tempered. It doesn't keep a record of wrongs that others do.",고린도전서 13장 4~5절,1 Corinthians 13:4~5,사랑
모든 지킬 만한 것 중에 더욱 네 마음을 지키라 생명의 근원이 이에서 남이니라,Carefully guard your thoughts because they are the source of true life.,잠언 4장 23절,Proverbs 4:23,사랑
인자와 진리가 네게서 떠나지 말게 하고 그것을 네 목에 매며 네 마음판에 새기라 그리하면 네가 하나님과 사람 앞에서 은총과 귀중히 여김을 받으리라,"Let love and loyalty always show like a necklace, and write them in your mind. God and people will like you and consider you a success.",잠언 3장 3~4절,Proverbs 3:3,사랑
형제들아 너희가 자유를 위하여 부르심을 입었으나 그러나 그 자유로 육체의 기회를 삼지 말고 오직 사랑으로 서로 종 노릇 하라,"My friends, you were chosen to be free. So don't use your freedom as an excuse to do anything you want. Use it as an opportunity to serve each other with love.",갈라디아서 5장 13절,Galatians 5:13,사랑
무엇보다도 뜨겁게 서로 사랑할지니 사랑은 허다한 죄를 덮느니라,"Most important of all, you must sincerely love each other, because love wipes away many sins.",베드로전서 4장 8절,1 Peter 4:8,사랑
미움은 다툼을 일으켜도 사랑은 모든 허물을 가리느니라,Hatred stirs up trouble; love overlooks the wrongs that others do.,잠언 10장 12절,Proverbs 10:12,사랑
